epoch,dataset,acc
0,SUN397,0.5520906801007557
0,Cars,0.546822534510633
0,RESISC45,0.6671428571428571
0,EuroSAT,0.7777777777777778
0,SVHN,0.8041256914566687
0,GTSRB,0.694061757719715
0,MNIST,0.973
0,DTD,0.49946808510638296
200,SUN397,0.5830730478589421
200,Cars,0.5927123492102973
200,RESISC45,0.7093650793650793
200,EuroSAT,0.8518518518518519
200,SVHN,0.8243315918869084
200,GTSRB,0.7198733174980206
200,MNIST,0.9773
200,DTD,0.5095744680851064
400,SUN397,0.5983375314861461
400,Cars,0.6095013058077353
400,RESISC45,0.7265079365079365
400,EuroSAT,0.8888888888888888
400,SVHN,0.8436923786109404
400,GTSRB,0.7317498020585906
400,MNIST,0.9799
400,DTD,0.5170212765957447
600,SUN397,0.6028715365239294
600,Cars,0.6144758114662355
600,RESISC45,0.7393650793650793
600,EuroSAT,0.9144444444444444
600,SVHN,0.8583666256914567
600,GTSRB,0.7534441805225653
600,MNIST,0.9811
600,DTD,0.5191489361702127
800,SUN397,0.6118387909319899
800,Cars,0.6246735480661609
800,RESISC45,0.7431746031746032
800,EuroSAT,0.9292592592592592
800,SVHN,0.8698909035033805
800,GTSRB,0.7680918448139351
800,MNIST,0.9822
800,DTD,0.5175531914893617
1000,SUN397,0.6161209068010075
1000,Cars,0.6215644820295984
1000,RESISC45,0.7492063492063492
1000,EuroSAT,0.9414814814814815
1000,SVHN,0.8789182544560541
1000,GTSRB,0.784639746634996
1000,MNIST,0.9825
1000,DTD,0.5234042553191489
1200,SUN397,0.6178337531486147
1200,Cars,0.6215644820295984
1200,RESISC45,0.7522222222222222
1200,EuroSAT,0.9474074074074074
1200,SVHN,0.889520590043024
1200,GTSRB,0.798258115597783
1200,MNIST,0.9839
1200,DTD,0.5212765957446809
1400,SUN397,0.6215113350125945
1400,Cars,0.6213157567466733
1400,RESISC45,0.753015873015873
1400,EuroSAT,0.9496296296296296
1400,SVHN,0.894860172095882
1400,GTSRB,0.8105304829770388
1400,MNIST,0.9841
1400,DTD,0.5255319148936171
1600,SUN397,0.6240302267002519
1600,Cars,0.6164656137296356
1600,RESISC45,0.756984126984127
1600,EuroSAT,0.9540740740740741
1600,SVHN,0.9017747387830363
1600,GTSRB,0.8144101346001583
1600,MNIST,0.9846
1600,DTD,0.5223404255319148
1800,SUN397,0.6257430730478589
1800,Cars,0.6182066907101107
1800,RESISC45,0.76
1800,EuroSAT,0.9540740740740741
1800,SVHN,0.9059618930547019
1800,GTSRB,0.8167062549485352
1800,MNIST,0.9848
1800,DTD,0.5191489361702127
2000,SUN397,0.6251385390428211
2000,Cars,0.6107449322223604
2000,RESISC45,0.7604761904761905
2000,EuroSAT,0.957037037037037
2000,SVHN,0.9097264904732637
2000,GTSRB,0.8187648456057007
2000,MNIST,0.9853
2000,DTD,0.5186170212765957
