epoch,dataset,acc
0,SUN397,0.5522921914357682
0,Cars,0.5480661609252581
0,RESISC45,0.6658730158730158
0,EuroSAT,0.7766666666666666
0,SVHN,0.8022433927473879
0,GTSRB,0.6949326999208234
0,MNIST,0.9736
0,DTD,0.5010638297872341
200,SUN397,0.6323929471032745
200,Cars,0.7139659246362393
200,RESISC45,0.8163492063492064
200,EuroSAT,0.9496296296296296
200,SVHN,0.8864858635525507
200,GTSRB,0.9209817893903405
200,MNIST,0.9726
200,DTD,0.6207446808510638
400,SUN397,0.6522418136020152
400,Cars,0.6981718691705012
400,RESISC45,0.7941269841269841
400,EuroSAT,0.9574074074074074
400,SVHN,0.8622848801475107
400,GTSRB,0.9440221694378464
400,MNIST,0.9686
400,DTD,0.6074468085106383
600,SUN397,0.6464483627204031
600,Cars,0.721054595199602
600,RESISC45,0.8084126984126984
600,EuroSAT,0.8796296296296297
600,SVHN,0.9026966810079902
600,GTSRB,0.9625494853523358
600,MNIST,0.9756
600,DTD,0.6563829787234042
800,SUN397,0.6471536523929471
800,Cars,0.693943539360776
800,RESISC45,0.8163492063492064
800,EuroSAT,0.942962962962963
800,SVHN,0.8719652735095267
800,GTSRB,0.9680126682501979
800,MNIST,0.9799
800,DTD,0.6446808510638298
1000,SUN397,0.6590428211586902
1000,Cars,0.6985449570948887
1000,RESISC45,0.871904761904762
1000,EuroSAT,0.9174074074074074
1000,SVHN,0.9284726490473264
1000,GTSRB,0.9336500395882819
1000,MNIST,0.9885
1000,DTD,0.6457446808510638
1200,SUN397,0.6319899244332494
1200,Cars,0.6859843303071758
1200,RESISC45,0.8112698412698413
1200,EuroSAT,0.9640740740740741
1200,SVHN,0.9151044867854948
1200,GTSRB,0.9595407759303246
1200,MNIST,0.9817
1200,DTD,0.6207446808510638
1400,SUN397,0.648816120906801
1400,Cars,0.7014052978485263
1400,RESISC45,0.8495238095238096
1400,EuroSAT,0.9714814814814815
1400,SVHN,0.8988936693300553
1400,GTSRB,0.9308788598574822
1400,MNIST,0.9881
1400,DTD,0.5914893617021276
1600,SUN397,0.6621158690176322
1600,Cars,0.7017783857729138
1600,RESISC45,0.8495238095238096
1600,EuroSAT,0.9518518518518518
1600,SVHN,0.8375076828518746
1600,GTSRB,0.9507521773555028
1600,MNIST,0.9905
1600,DTD,0.6473404255319148
1800,SUN397,0.6920403022670025
1800,Cars,0.6979231438875761
1800,RESISC45,0.8590476190476191
1800,EuroSAT,0.9259259259259259
1800,SVHN,0.8974339274738783
1800,GTSRB,0.9346793349168646
1800,MNIST,0.9848
1800,DTD,0.6382978723404256
2000,SUN397,0.6807052896725441
2000,Cars,0.6869792314388757
2000,RESISC45,0.8806349206349207
2000,EuroSAT,0.9596296296296296
2000,SVHN,0.906960663798402
2000,GTSRB,0.9305621536025337
2000,MNIST,0.9868
2000,DTD,0.6414893617021277
