epoch,dataset,acc
0,SUN397,0.6222670025188917
0,Cars,0.628155702027111
0,RESISC45,0.7723809523809524
0,EuroSAT,0.9292592592592592
0,SVHN,0.8577135832821143
0,GTSRB,0.8429136975455265
0,MNIST,0.983
0,DTD,0.55
100,SUN397,0.6392947103274559
100,Cars,0.6560129337147121
100,RESISC45,0.8119047619047619
100,EuroSAT,0.9492592592592592
100,SVHN,0.8932083589428396
100,GTSRB,0.9140142517814727
100,MNIST,0.9855
100,DTD,0.5787234042553191
200,SUN397,0.6485642317380352
200,Cars,0.6731749782365377
200,RESISC45,0.8373015873015873
200,EuroSAT,0.957037037037037
200,SVHN,0.8988936693300553
200,GTSRB,0.9399049881235154
200,MNIST,0.9852
200,DTD,0.5973404255319149
300,SUN397,0.6522418136020152
300,Cars,0.6788956597438129
300,RESISC45,0.8487301587301588
300,EuroSAT,0.9562962962962963
300,SVHN,0.9014674247080516
300,GTSRB,0.9517814726840855
300,MNIST,0.9853
300,DTD,0.6117021276595744
400,SUN397,0.6601007556675063
400,Cars,0.6837458027608506
400,RESISC45,0.8571428571428571
400,EuroSAT,0.9585185185185185
400,SVHN,0.9060387215734481
400,GTSRB,0.9571654790182106
400,MNIST,0.9856
400,DTD,0.6202127659574468
500,SUN397,0.6640806045340051
500,Cars,0.6866061435144882
500,RESISC45,0.861904761904762
500,EuroSAT,0.9566666666666667
500,SVHN,0.9119545175169023
500,GTSRB,0.9612034837688044
500,MNIST,0.9859
500,DTD,0.625
600,SUN397,0.6665994962216625
600,Cars,0.6889690337022758
600,RESISC45,0.8647619047619047
600,EuroSAT,0.9577777777777777
600,SVHN,0.913759987707437
600,GTSRB,0.9622327790973871
600,MNIST,0.9865
600,DTD,0.6308510638297873
700,SUN397,0.6693702770780856
700,Cars,0.6930730008705385
700,RESISC45,0.8676190476190476
700,EuroSAT,0.9581481481481482
700,SVHN,0.9155654578979717
700,GTSRB,0.9629453681710214
700,MNIST,0.9868
700,DTD,0.6340425531914894
800,SUN397,0.6736523929471033
800,Cars,0.695435891058326
800,RESISC45,0.8701587301587301
800,EuroSAT,0.9581481481481482
800,SVHN,0.9158343577135832
800,GTSRB,0.9644497228820269
800,MNIST,0.987
800,DTD,0.6356382978723404
900,SUN397,0.674911838790932
900,Cars,0.6974256933217261
900,RESISC45,0.8714285714285714
900,EuroSAT,0.9592592592592593
900,SVHN,0.9137215734480639
900,GTSRB,0.9657957244655582
900,MNIST,0.987
900,DTD,0.6367021276595745
1000,SUN397,0.6777833753148614
1000,Cars,0.6997885835095138
1000,RESISC45,0.8750793650793651
1000,EuroSAT,0.96
1000,SVHN,0.9156038721573448
1000,GTSRB,0.9667458432304038
1000,MNIST,0.9869
1000,DTD,0.6382978723404256
