epoch,dataset,acc
0,SUN397,0.5510327455919396
0,Cars,0.5498072379057332
0,RESISC45,0.6684126984126985
0,EuroSAT,0.7692592592592593
0,SVHN,0.8053549477566072
0,GTSRB,0.6992082343626287
0,MNIST,0.9737
0,DTD,0.5
200,SUN397,0.6233249370277079
200,Cars,0.5858724039298595
200,RESISC45,0.7033333333333334
200,EuroSAT,0.772962962962963
200,SVHN,0.8836432083589428
200,GTSRB,0.807125890736342
200,MNIST,0.9369
200,DTD,0.48404255319148937
400,SUN397,0.578639798488665
400,Cars,0.6122372839199105
400,RESISC45,0.655079365079365
400,EuroSAT,0.8937037037037037
400,SVHN,0.8752304855562385
400,GTSRB,0.8679334916864608
400,MNIST,0.9657
400,DTD,0.46117021276595743
600,SUN397,0.6262468513853904
600,Cars,0.6460639223977117
600,RESISC45,0.6853968253968254
600,EuroSAT,0.9651851851851851
600,SVHN,0.8201444376152428
600,GTSRB,0.8681710213776722
600,MNIST,0.9217
600,DTD,0.44680851063829785
800,SUN397,0.5759193954659949
800,Cars,0.5602536997885835
800,RESISC45,0.8314285714285714
800,EuroSAT,0.7514814814814815
800,SVHN,0.9199062692071297
800,GTSRB,0.9077593032462391
800,MNIST,0.9786
800,DTD,0.38563829787234044
1000,SUN397,0.6157682619647356
1000,Cars,0.6152219873150105
1000,RESISC45,0.7741269841269841
1000,EuroSAT,0.9218518518518518
1000,SVHN,0.8191072526121697
1000,GTSRB,0.9281868566904197
1000,MNIST,0.9804
1000,DTD,0.4021276595744681
1200,SUN397,0.5432241813602016
1200,Cars,0.587986568834722
1200,RESISC45,0.7347619047619047
1200,EuroSAT,0.8988888888888888
1200,SVHN,0.9380762138905961
1200,GTSRB,0.930166270783848
1200,MNIST,0.9703
1200,DTD,0.36223404255319147
1400,SUN397,0.5867506297229219
1400,Cars,0.574679766198234
1400,RESISC45,0.7268253968253968
1400,EuroSAT,0.9540740740740741
1400,SVHN,0.891979102642901
1400,GTSRB,0.9255740300870943
1400,MNIST,0.9843
1400,DTD,0.42925531914893617
1600,SUN397,0.6184382871536523
1600,Cars,0.5996766571321975
1600,RESISC45,0.7604761904761905
1600,EuroSAT,0.9592592592592593
1600,SVHN,0.8577135832821143
1600,GTSRB,0.9368171021377673
1600,MNIST,0.9805
1600,DTD,0.31063829787234043
1800,SUN397,0.6715869017632242
1800,Cars,0.639970152966049
1800,RESISC45,0.7104761904761905
1800,EuroSAT,0.904074074074074
1800,SVHN,0.9283574062692072
1800,GTSRB,0.933095803642122
1800,MNIST,0.9792
1800,DTD,0.3723404255319149
2000,SUN397,0.6730478589420655
2000,Cars,0.638975251834349
2000,RESISC45,0.7657142857142857
2000,EuroSAT,0.9333333333333333
2000,SVHN,0.9089966195451752
2000,GTSRB,0.9304038004750593
2000,MNIST,0.9731
2000,DTD,0.3893617021276596
