epoch,dataset,acc
0,SUN397,0.6367758186397985
0,Cars,0.6211913941052108
0,RESISC45,0.7625396825396825
0,EuroSAT,0.9462962962962963
0,SVHN,0.8932083589428396
0,GTSRB,0.8650831353919239
0,MNIST,0.9868
0,DTD,0.4829787234042553
100,SUN397,0.6234256926952141
100,Cars,0.6080089541101853
100,RESISC45,0.7673015873015873
100,EuroSAT,0.9488888888888889
100,SVHN,0.907498463429625
100,GTSRB,0.9091053048297704
100,MNIST,0.9844
100,DTD,0.46382978723404256
200,SUN397,0.6143576826196474
200,Cars,0.599552294490735
200,RESISC45,0.7606349206349207
200,EuroSAT,0.9514814814814815
200,SVHN,0.9130685310387215
200,GTSRB,0.9279493269992082
200,MNIST,0.9846
200,DTD,0.42021276595744683
300,SUN397,0.6145088161209068
300,Cars,0.5953239646810098
300,RESISC45,0.7615873015873016
300,EuroSAT,0.9496296296296296
300,SVHN,0.9158343577135832
300,GTSRB,0.9370546318289786
300,MNIST,0.9841
300,DTD,0.3941489361702128
400,SUN397,0.6180352644836272
400,Cars,0.5927123492102973
400,RESISC45,0.7565079365079365
400,EuroSAT,0.947037037037037
400,SVHN,0.9150276582667486
400,GTSRB,0.9425178147268408
400,MNIST,0.9838
400,DTD,0.37553191489361704
500,SUN397,0.6211586901763224
500,Cars,0.5922148986444472
500,RESISC45,0.7546031746031746
500,EuroSAT,0.9503703703703704
500,SVHN,0.9140288875230486
500,GTSRB,0.9451306413301662
500,MNIST,0.9815
500,DTD,0.3659574468085106
600,SUN397,0.6241813602015114
600,Cars,0.5944534261907722
600,RESISC45,0.7519047619047619
600,EuroSAT,0.9492592592592592
600,SVHN,0.9141441303011678
600,GTSRB,0.946714172604909
600,MNIST,0.9804
600,DTD,0.35851063829787233
700,SUN397,0.6211586901763224
700,Cars,0.5907225469468972
700,RESISC45,0.7466666666666667
700,EuroSAT,0.9485185185185185
700,SVHN,0.9173709280885064
700,GTSRB,0.9486144101346001
700,MNIST,0.9804
700,DTD,0.35106382978723405
800,SUN397,0.6233753148614609
800,Cars,0.5888571073249595
800,RESISC45,0.7496825396825397
800,EuroSAT,0.9477777777777778
800,SVHN,0.9151429010448678
800,GTSRB,0.9476642913697546
800,MNIST,0.9807
800,DTD,0.350531914893617
900,SUN397,0.6284130982367758
900,Cars,0.5905981843054346
900,RESISC45,0.75
900,EuroSAT,0.9444444444444444
900,SVHN,0.913759987707437
900,GTSRB,0.947901821060966
900,MNIST,0.9817
900,DTD,0.3478723404255319
1000,SUN397,0.6273047858942066
1000,Cars,0.5891058326078846
1000,RESISC45,0.7450793650793651
1000,EuroSAT,0.9481481481481482
1000,SVHN,0.9105331899200984
1000,GTSRB,0.95027711797308
1000,MNIST,0.9806
1000,DTD,0.34627659574468084
