epoch,dataset,acc
0,SUN397,0.6323425692695214
0,Cars,0.6206939435393608
0,RESISC45,0.7534920634920635
0,SVHN,0.8441149354640443
0,GTSRB,0.8033254156769596
0,DTD,0.5803191489361702
0,MNIST,0.7705
0,EuroSAT,0.4562962962962963
200,SUN397,0.6617632241813602
200,Cars,0.6839945280437757
200,RESISC45,0.8877777777777778
200,SVHN,0.9167947141979103
200,GTSRB,0.9460807600950119
200,DTD,0.6361702127659574
200,MNIST,0.8122
200,EuroSAT,0.5596296296296296
400,SUN397,0.6789420654911839
400,Cars,0.7323715955726899
400,RESISC45,0.8622222222222222
400,SVHN,0.9046942224953903
400,GTSRB,0.9419635787806809
400,DTD,0.673936170212766
400,MNIST,0.8093
400,EuroSAT,0.5377777777777778
600,SUN397,0.6663979848866499
600,Cars,0.718318617087427
600,RESISC45,0.8879365079365079
600,SVHN,0.9306238475722188
600,GTSRB,0.9570071258907363
600,DTD,0.6531914893617021
600,MNIST,0.8245
600,EuroSAT,0.5333333333333333
800,SUN397,0.6916372795969773
800,Cars,0.7287650789702773
800,RESISC45,0.8720634920634921
800,SVHN,0.9371926859250154
800,GTSRB,0.9499604117181314
800,DTD,0.6356382978723404
800,MNIST,0.8403
800,EuroSAT,0.512962962962963
1000,SUN397,0.6933501259445843
1000,Cars,0.722546946897152
1000,RESISC45,0.8998412698412699
1000,SVHN,0.9229025814382299
1000,GTSRB,0.9654790182106097
1000,DTD,0.652127659574468
1000,MNIST,0.8187
1000,EuroSAT,0.5385185185185185
1200,SUN397,0.675919395465995
1200,Cars,0.7047630891680139
1200,RESISC45,0.8850793650793651
1200,SVHN,0.9211355255070682
1200,GTSRB,0.9652414885193983
1200,DTD,0.6680851063829787
1200,MNIST,0.8306
1200,EuroSAT,0.5307407407407407
1400,SUN397,0.6719899244332493
1400,Cars,0.7108568585996766
1400,RESISC45,0.8971428571428571
1400,SVHN,0.901160110633067
1400,GTSRB,0.9756927949326999
1400,DTD,0.699468085106383
1400,MNIST,0.7677
1400,EuroSAT,0.5344444444444445
1600,SUN397,0.6869017632241814
1600,Cars,0.7232931227459272
1600,RESISC45,0.9031746031746032
1600,SVHN,0.9222495390288875
1600,GTSRB,0.9610451306413301
1600,DTD,0.6675531914893617
1600,MNIST,0.8344
1600,EuroSAT,0.5385185185185185
1800,SUN397,0.6912846347607053
1800,Cars,0.719064792936202
1800,RESISC45,0.8793650793650793
1800,SVHN,0.9489474492931776
1800,GTSRB,0.9680918448139351
1800,DTD,0.6531914893617021
1800,MNIST,0.8418
1800,EuroSAT,0.4737037037037037
2000,SUN397,0.6908816120906801
2000,Cars,0.7142146499191643
2000,RESISC45,0.8792063492063492
2000,SVHN,0.9524815611555009
2000,GTSRB,0.953840063341251
2000,DTD,0.6664893617021277
2000,MNIST,0.8482
2000,EuroSAT,0.47814814814814816
