epoch,dataset,acc
0,SUN397,0.6390931989924433
0,Cars,0.639721427683124
0,EuroSAT,0.8725925925925926
0,GTSRB,0.7512272367379256
0,MNIST,0.9567
0,DTD,0.5686170212765957
0,RESISC45,0.5271428571428571
0,SVHN,0.4940842040565458
200,SUN397,0.6461460957178842
200,Cars,0.6555154831488621
200,EuroSAT,0.9203703703703704
200,GTSRB,0.7802058590657166
200,MNIST,0.9655
200,DTD,0.5664893617021277
200,RESISC45,0.5366666666666666
200,SVHN,0.5212814996926859
400,SUN397,0.6506801007556675
400,Cars,0.6632259669195374
400,EuroSAT,0.9440740740740741
400,GTSRB,0.8081551860649248
400,MNIST,0.9685
400,DTD,0.5712765957446808
400,RESISC45,0.5396825396825397
400,SVHN,0.535379532882606
600,SUN397,0.6553652392947104
600,Cars,0.6686979231438875
600,EuroSAT,0.9522222222222222
600,GTSRB,0.834916864608076
600,MNIST,0.9715
600,DTD,0.5691489361702128
600,RESISC45,0.5419047619047619
600,SVHN,0.5493239090350338
800,SUN397,0.6577833753148614
800,Cars,0.66782738465365
800,EuroSAT,0.9577777777777777
800,GTSRB,0.8546318289786223
800,MNIST,0.9742
800,DTD,0.5686170212765957
800,RESISC45,0.5431746031746032
800,SVHN,0.5582744314689613
1000,SUN397,0.658992443324937
1000,Cars,0.66484268125855
1000,EuroSAT,0.9614814814814815
1000,GTSRB,0.8644497228820269
1000,MNIST,0.9759
1000,DTD,0.5675531914893617
1000,RESISC45,0.5412698412698412
1000,SVHN,0.5645359557467732
1200,SUN397,0.658992443324937
1200,Cars,0.6622310657878373
1200,EuroSAT,0.9629629629629629
1200,GTSRB,0.8759303246239113
1200,MNIST,0.977
1200,DTD,0.5691489361702128
1200,RESISC45,0.5414285714285715
1200,SVHN,0.5730255070682237
1400,SUN397,0.6621158690176322
1400,Cars,0.6608630767317498
1400,EuroSAT,0.9625925925925926
1400,GTSRB,0.8821060965954077
1400,MNIST,0.978
1400,DTD,0.5680851063829787
1400,RESISC45,0.5426984126984127
1400,SVHN,0.5746004917025199
1600,SUN397,0.6607556675062972
1600,Cars,0.6571321974878747
1600,EuroSAT,0.9629629629629629
1600,GTSRB,0.8884402216943784
1600,MNIST,0.9788
1600,DTD,0.5670212765957446
1600,RESISC45,0.5431746031746032
1600,SVHN,0.5802473878303627
1800,SUN397,0.6620654911838791
1800,Cars,0.6588732744683498
1800,EuroSAT,0.9648148148148148
1800,GTSRB,0.8957244655581947
1800,MNIST,0.9799
1800,DTD,0.5707446808510638
1800,RESISC45,0.545079365079365
1800,SVHN,0.5884296250768285
2000,SUN397,0.6636272040302267
2000,Cars,0.6570078348464121
2000,EuroSAT,0.9644444444444444
2000,GTSRB,0.8999208234362629
2000,MNIST,0.9805
2000,DTD,0.5723404255319149
2000,RESISC45,0.5434920634920635
2000,SVHN,0.5891210817455439
