epoch,dataset,acc
0,SUN397,0.6708816120906801
0,Cars,0.680139286158438
0,EuroSAT,0.9466666666666667
0,GTSRB,0.8604908946951703
0,MNIST,0.9736
0,DTD,0.5994680851063829
0,RESISC45,0.553968253968254
0,SVHN,0.5320759065765212
100,SUN397,0.6741561712846348
100,Cars,0.693943539360776
100,EuroSAT,0.967037037037037
100,GTSRB,0.9319873317498021
100,MNIST,0.982
100,DTD,0.6239361702127659
100,RESISC45,0.5276190476190477
100,SVHN,0.5800937307928703
200,SUN397,0.675919395465995
200,Cars,0.6971769680388011
200,EuroSAT,0.97
200,GTSRB,0.9551068883610452
200,MNIST,0.9848
200,DTD,0.6430851063829788
200,RESISC45,0.5171428571428571
200,SVHN,0.5996465888137676
300,SUN397,0.6788413098236776
300,Cars,0.6971769680388011
300,EuroSAT,0.9711111111111111
300,GTSRB,0.9649247822644498
300,MNIST,0.986
300,DTD,0.6526595744680851
300,RESISC45,0.5084126984126984
300,SVHN,0.6092885679164106
400,SUN397,0.6808060453400504
400,Cars,0.6974256933217261
400,EuroSAT,0.9688888888888889
400,GTSRB,0.9694378463974663
400,MNIST,0.9872
400,DTD,0.6648936170212766
400,RESISC45,0.5028571428571429
400,SVHN,0.6146665642286416
500,SUN397,0.6848866498740555
500,Cars,0.6987936823778137
500,EuroSAT,0.9707407407407408
500,GTSRB,0.9716547901821061
500,MNIST,0.9879
500,DTD,0.6702127659574468
500,RESISC45,0.49507936507936506
500,SVHN,0.6188153042409342
600,SUN397,0.6858942065491184
600,Cars,0.7020271110558388
600,EuroSAT,0.9718518518518519
600,GTSRB,0.973396674584323
600,MNIST,0.9887
600,DTD,0.673936170212766
600,RESISC45,0.4895238095238095
600,SVHN,0.6194683466502766
700,SUN397,0.6892191435768262
700,Cars,0.704265638602164
700,EuroSAT,0.9722222222222222
700,GTSRB,0.9749802058590658
700,MNIST,0.9887
700,DTD,0.6781914893617021
700,RESISC45,0.48968253968253966
700,SVHN,0.6210049170251998
800,SUN397,0.6938035264483627
800,Cars,0.7071259793558016
800,EuroSAT,0.9733333333333334
800,GTSRB,0.9755344418052256
800,MNIST,0.9888
800,DTD,0.6829787234042554
800,RESISC45,0.48682539682539683
800,SVHN,0.6188921327596804
900,SUN397,0.6946599496221663
900,Cars,0.7082452431289641
900,EuroSAT,0.9733333333333334
900,GTSRB,0.975771971496437
900,MNIST,0.9894
900,DTD,0.6845744680851064
900,RESISC45,0.4831746031746032
900,SVHN,0.621120159803319
1000,SUN397,0.6956171284634761
1000,Cars,0.7096132321850516
1000,EuroSAT,0.9733333333333334
1000,GTSRB,0.9764053840063341
1000,MNIST,0.9897
1000,DTD,0.6872340425531915
1000,RESISC45,0.4811111111111111
1000,SVHN,0.6233481868469576
