epoch,dataset,acc
0,SUN397,0.5526952141057935
0,Cars,0.5494341499813457
0,RESISC45,0.6666666666666666
0,EuroSAT,0.774074074074074
0,SVHN,0.8020897357098955
0,GTSRB,0.6968329374505147
0,MNIST,0.9734
0,DTD,0.5010638297872341
100,SUN397,0.5935012594458439
100,Cars,0.5749284914811591
100,RESISC45,0.6912698412698413
100,EuroSAT,0.84
100,SVHN,0.8050092194222496
100,GTSRB,0.7032462391132225
100,MNIST,0.9574
100,DTD,0.5015957446808511
200,SUN397,0.5838287153652393
200,Cars,0.5622435020519836
200,RESISC45,0.6884126984126984
200,EuroSAT,0.8388888888888889
200,SVHN,0.82509987707437
200,GTSRB,0.7568487727632621
200,MNIST,0.9476
200,DTD,0.48138297872340424
300,SUN397,0.5805541561712846
300,Cars,0.5539112050739958
300,RESISC45,0.690952380952381
300,EuroSAT,0.8214814814814815
300,SVHN,0.8267516902274125
300,GTSRB,0.8025336500395883
300,MNIST,0.9405
300,DTD,0.4675531914893617
400,SUN397,0.5830226700251889
400,Cars,0.5510508643203582
400,RESISC45,0.7019047619047619
400,EuroSAT,0.8251851851851851
400,SVHN,0.8083128457283344
400,GTSRB,0.832541567695962
400,MNIST,0.9272
400,DTD,0.45904255319148934
500,SUN397,0.5795969773299748
500,Cars,0.5407287650789703
500,RESISC45,0.7023809523809523
500,EuroSAT,0.8118518518518518
500,SVHN,0.8105792870313461
500,GTSRB,0.8488519398258115
500,MNIST,0.9264
500,DTD,0.451063829787234
600,SUN397,0.5793954659949622
600,Cars,0.53376445715707
600,RESISC45,0.7052380952380952
600,EuroSAT,0.8096296296296296
600,SVHN,0.8157267977873387
600,GTSRB,0.8479809976247031
600,MNIST,0.9299
600,DTD,0.4409574468085106
700,SUN397,0.5849370277078085
700,Cars,0.5377440616838701
700,RESISC45,0.7144444444444444
700,EuroSAT,0.8196296296296296
700,SVHN,0.8083512599877074
700,GTSRB,0.8405384006334126
700,MNIST,0.9299
700,DTD,0.44042553191489364
800,SUN397,0.583727959697733
800,Cars,0.535008083571695
800,RESISC45,0.7123809523809523
800,EuroSAT,0.8
800,SVHN,0.8160341118623233
800,GTSRB,0.8459224069675376
800,MNIST,0.9308
800,DTD,0.43670212765957445
900,SUN397,0.5838790931989924
900,Cars,0.5333913692326825
900,RESISC45,0.7123809523809523
900,EuroSAT,0.7977777777777778
900,SVHN,0.8185694529809465
900,GTSRB,0.8487727632620744
900,MNIST,0.9307
900,DTD,0.43138297872340425
1000,SUN397,0.5831738035264483
1000,Cars,0.53227210545952
1000,RESISC45,0.7180952380952381
1000,EuroSAT,0.8007407407407408
1000,SVHN,0.816379840196681
1000,GTSRB,0.8440221694378464
1000,MNIST,0.9342
1000,DTD,0.4271276595744681
