epoch,dataset,acc
0,SUN397,0.7408564231738035
0,Cars,0.8194254445964432
0,RESISC45,0.8673015873015874
0,EuroSAT,0.927037037037037
0,SVHN,0.8786493546404426
0,GTSRB,0.8681710213776722
0,MNIST,0.9896
0,DTD,0.6585106382978724
200,SUN397,0.7788916876574308
200,Cars,0.8956597438129585
200,RESISC45,0.8473015873015873
200,EuroSAT,0.9488888888888889
200,SVHN,0.9197910264290104
200,GTSRB,0.9377672209026128
200,MNIST,0.9915
200,DTD,0.7882978723404256
400,SUN397,0.7360201511335013
400,Cars,0.8867056336276582
400,RESISC45,0.9496825396825397
400,EuroSAT,0.8203703703703704
400,SVHN,0.9225184388444991
400,GTSRB,0.9704671417260491
400,MNIST,0.9882
400,DTD,0.749468085106383
600,SUN397,0.7560201511335013
600,Cars,0.880736226837458
600,RESISC45,0.8658730158730159
600,EuroSAT,0.9033333333333333
600,SVHN,0.9291256914566687
600,GTSRB,0.9646080760095012
600,MNIST,0.9913
600,DTD,0.7632978723404256
800,SUN397,0.7483627204030227
800,Cars,0.8926750404178585
800,RESISC45,0.8819047619047619
800,EuroSAT,0.9637037037037037
800,SVHN,0.8170712968653965
800,GTSRB,0.9551860649247823
800,MNIST,0.9927
800,DTD,0.7904255319148936
1000,SUN397,0.7848362720403023
1000,Cars,0.894540480039796
1000,RESISC45,0.9044444444444445
1000,EuroSAT,0.9581481481481482
1000,SVHN,0.8842578365089121
1000,GTSRB,0.9784639746634997
1000,MNIST,0.9932
1000,DTD,0.7760638297872341
1200,SUN397,0.7614105793450882
1200,Cars,0.894540480039796
1200,RESISC45,0.9392063492063492
1200,EuroSAT,0.9503703703703704
1200,SVHN,0.9152581438229871
1200,GTSRB,0.9766429136975455
1200,MNIST,0.983
1200,DTD,0.777127659574468
1400,SUN397,0.756272040302267
1400,Cars,0.8778758860838204
1400,RESISC45,0.896984126984127
1400,EuroSAT,0.9640740740740741
1400,SVHN,0.9216349108789182
1400,GTSRB,0.9610451306413301
1400,MNIST,0.99
1400,DTD,0.7281914893617021
1600,SUN397,0.7729974811083123
1600,Cars,0.8998880736226837
1600,RESISC45,0.9076190476190477
1600,EuroSAT,0.9666666666666667
1600,SVHN,0.8350875845113707
1600,GTSRB,0.9696753760886777
1600,MNIST,0.9887
1600,DTD,0.7930851063829787
1800,SUN397,0.77727959697733
1800,Cars,0.8970277328690461
1800,RESISC45,0.9222222222222223
1800,EuroSAT,0.9562962962962963
1800,SVHN,0.8997771972956361
1800,GTSRB,0.9653998416468725
1800,MNIST,0.9896
1800,DTD,0.7574468085106383
2000,SUN397,0.7757682619647355
2000,Cars,0.9047382166397214
2000,RESISC45,0.9153968253968254
2000,EuroSAT,0.96
2000,SVHN,0.9401121696373694
2000,GTSRB,0.9778305621536025
2000,MNIST,0.9837
2000,DTD,0.7914893617021277
