epoch,dataset,acc
0,SUN397,0.7479093198992444
0,Cars,0.8557393359034946
0,RESISC45,0.8877777777777778
0,EuroSAT,0.9648148148148148
0,SVHN,0.909841733251383
0,GTSRB,0.9016627078384798
0,MNIST,0.9902
0,DTD,0.6813829787234043
100,SUN397,0.756926952141058
100,Cars,0.8727770177838577
100,RESISC45,0.9033333333333333
100,EuroSAT,0.9633333333333334
100,SVHN,0.9187922556853104
100,GTSRB,0.9368962787015044
100,MNIST,0.9902
100,DTD,0.7148936170212766
200,SUN397,0.7611083123425693
200,Cars,0.8865812709861958
200,RESISC45,0.9128571428571428
200,EuroSAT,0.9640740740740741
200,SVHN,0.9275507068223725
200,GTSRB,0.9528899445764054
200,MNIST,0.9897
200,DTD,0.7351063829787234
300,SUN397,0.765088161209068
300,Cars,0.8944161173983335
300,RESISC45,0.9146031746031746
300,EuroSAT,0.9655555555555555
300,SVHN,0.9302781192378611
300,GTSRB,0.9634996041171813
300,MNIST,0.9895
300,DTD,0.7553191489361702
400,SUN397,0.7672040302267003
400,Cars,0.8986444472080587
400,RESISC45,0.9157142857142857
400,EuroSAT,0.9666666666666667
400,SVHN,0.9334665027658267
400,GTSRB,0.9686460807600951
400,MNIST,0.9895
400,DTD,0.7712765957446809
500,SUN397,0.7708816120906801
500,Cars,0.9011317000373088
500,RESISC45,0.9171428571428571
500,EuroSAT,0.9666666666666667
500,SVHN,0.9371542716656422
500,GTSRB,0.9721298495645289
500,MNIST,0.99
500,DTD,0.7787234042553192
600,SUN397,0.7712846347607053
600,Cars,0.9049869419226464
600,RESISC45,0.9207936507936508
600,EuroSAT,0.9685185185185186
600,SVHN,0.9398048555623848
600,GTSRB,0.9736342042755345
600,MNIST,0.9901
600,DTD,0.7829787234042553
700,SUN397,0.772191435768262
700,Cars,0.907598557393359
700,RESISC45,0.92
700,EuroSAT,0.9681481481481482
700,SVHN,0.9429548248309773
700,GTSRB,0.9768012668250198
700,MNIST,0.9897
700,DTD,0.7888297872340425
800,SUN397,0.774911838790932
800,Cars,0.9092152717323716
800,RESISC45,0.9196825396825397
800,EuroSAT,0.9696296296296296
800,SVHN,0.9447218807621389
800,GTSRB,0.977513855898654
800,MNIST,0.9897
800,DTD,0.7914893617021277
900,SUN397,0.7761712846347607
900,Cars,0.9110807113543091
900,RESISC45,0.9204761904761904
900,EuroSAT,0.97
900,SVHN,0.9439920098340504
900,GTSRB,0.9780680918448139
900,MNIST,0.9896
900,DTD,0.7925531914893617
1000,SUN397,0.7777833753148614
1000,Cars,0.9123243377689342
1000,RESISC45,0.9214285714285714
1000,EuroSAT,0.97
1000,SVHN,0.9435310387215734
1000,GTSRB,0.979334916864608
1000,MNIST,0.9902
1000,DTD,0.7946808510638298
