scaling_coef,dataset,acc
0.0,SUN397,0.6823677581863979
0.0,Cars,0.7793806740455167
0.0,RESISC45,0.7133333333333334
0.0,EuroSAT,0.6125925925925926
0.0,SVHN,0.5844729563614014
0.0,GTSRB,0.5055423594615994
0.0,MNIST,0.7636
0.0,DTD,0.5537234042553192
0.1,SUN397,0.7142065491183879
0.1,Cars,0.8115905981843055
0.1,RESISC45,0.81
0.1,EuroSAT,0.8814814814814815
0.1,SVHN,0.7585663798401967
0.1,GTSRB,0.6676167854315123
0.1,MNIST,0.9594
0.1,DTD,0.6127659574468085
0.2,SUN397,0.7361712846347607
0.2,Cars,0.8247730381793309
0.2,RESISC45,0.8577777777777778
0.2,EuroSAT,0.9359259259259259
0.2,SVHN,0.8385832821143209
0.2,GTSRB,0.8115597783056215
0.2,MNIST,0.9835
0.2,DTD,0.6526595744680851
0.30000000000000004,SUN397,0.7413098236775819
0.30000000000000004,Cars,0.8212908842183808
0.30000000000000004,RESISC45,0.8665079365079366
0.30000000000000004,EuroSAT,0.9262962962962963
0.30000000000000004,SVHN,0.8790719114935464
0.30000000000000004,GTSRB,0.8677751385589866
0.30000000000000004,MNIST,0.9894
0.30000000000000004,DTD,0.6563829787234042
0.4,SUN397,0.7251385390428211
0.4,Cars,0.7920656634746922
0.4,RESISC45,0.8453968253968254
0.4,EuroSAT,0.9037037037037037
0.4,SVHN,0.892440073755378
0.4,GTSRB,0.8651623119556612
0.4,MNIST,0.991
0.4,DTD,0.6430851063829788
0.5,SUN397,0.6882115869017632
0.5,Cars,0.7278945404800398
0.5,RESISC45,0.803015873015873
0.5,EuroSAT,0.8492592592592593
0.5,SVHN,0.8902504609711125
0.5,GTSRB,0.8134600158353128
0.5,MNIST,0.9899
0.5,DTD,0.6058510638297873
0.6000000000000001,SUN397,0.6218639798488665
0.6000000000000001,Cars,0.6035318990175351
0.6000000000000001,RESISC45,0.7314285714285714
0.6000000000000001,EuroSAT,0.7722222222222223
0.6000000000000001,SVHN,0.8791103257529195
0.6000000000000001,GTSRB,0.73784639746635
0.6000000000000001,MNIST,0.9879
0.6000000000000001,DTD,0.5457446808510639
0.7000000000000001,SUN397,0.5057934508816121
0.7000000000000001,Cars,0.40106951871657753
0.7000000000000001,RESISC45,0.6282539682539683
0.7000000000000001,EuroSAT,0.6748148148148149
0.7000000000000001,SVHN,0.8578288260602336
0.7000000000000001,GTSRB,0.6343626286619161
0.7000000000000001,MNIST,0.9822
0.7000000000000001,DTD,0.46117021276595743
0.8,SUN397,0.34720403022670027
0.8,Cars,0.18032583012063177
0.8,RESISC45,0.5007936507936508
0.8,EuroSAT,0.5818518518518518
0.8,SVHN,0.8256760909649662
0.8,GTSRB,0.5151227236737925
0.8,MNIST,0.9604
0.8,DTD,0.3803191489361702
0.9,SUN397,0.1938035264483627
0.9,Cars,0.06491729884342744
0.9,RESISC45,0.3773015873015873
0.9,EuroSAT,0.49962962962962965
0.9,SVHN,0.77519975414874
0.9,GTSRB,0.40245447347585117
0.9,MNIST,0.8889
0.9,DTD,0.3127659574468085
1.0,SUN397,0.09279596977329975
1.0,Cars,0.020892923765700785
1.0,RESISC45,0.2841269841269841
1.0,EuroSAT,0.4248148148148148
1.0,SVHN,0.704479102642901
1.0,GTSRB,0.29422011084718924
1.0,MNIST,0.7184
1.0,DTD,0.2425531914893617
