scaling_coef,dataset,acc
0.0,SUN397,0.6823677581863979
0.0,Cars,0.7793806740455167
0.0,RESISC45,0.7133333333333334
0.0,EuroSAT,0.6125925925925926
0.0,SVHN,0.5844729563614014
0.0,GTSRB,0.5055423594615994
0.0,MNIST,0.7636
0.0,DTD,0.5537234042553192
0.1,SUN397,0.7112342569269522
0.1,Cars,0.8104713344111429
0.1,RESISC45,0.7919047619047619
0.1,EuroSAT,0.7951851851851852
0.1,SVHN,0.7227258758451137
0.1,GTSRB,0.6142517814726841
0.1,MNIST,0.9284
0.1,DTD,0.5973404255319149
0.2,SUN397,0.7338539042821158
0.2,Cars,0.8318617087426937
0.2,RESISC45,0.8488888888888889
0.2,EuroSAT,0.9162962962962963
0.2,SVHN,0.8028964351567301
0.2,GTSRB,0.7239904988123516
0.2,MNIST,0.9758
0.2,DTD,0.6452127659574468
0.30000000000000004,SUN397,0.7504282115869018
0.30000000000000004,Cars,0.8450441487377192
0.30000000000000004,RESISC45,0.8803174603174603
0.30000000000000004,EuroSAT,0.9425925925925925
0.30000000000000004,SVHN,0.8566379840196681
0.30000000000000004,GTSRB,0.820744259699129
0.30000000000000004,MNIST,0.9865
0.30000000000000004,DTD,0.6771276595744681
0.4,SUN397,0.7572292191435769
0.4,Cars,0.8527546325083945
0.4,RESISC45,0.8917460317460317
0.4,EuroSAT,0.9440740740740741
0.4,SVHN,0.8915181315304241
0.4,GTSRB,0.8714172604908947
0.4,MNIST,0.9899
0.4,DTD,0.6856382978723404
0.5,SUN397,0.7567758186397985
0.5,Cars,0.8525059072254695
0.5,RESISC45,0.8884126984126984
0.5,EuroSAT,0.9425925925925925
0.5,SVHN,0.9083435771358328
0.5,GTSRB,0.8872525732383214
0.5,MNIST,0.9916
0.5,DTD,0.6888297872340425
0.6000000000000001,SUN397,0.7462972292191435
0.6000000000000001,Cars,0.8411889068523816
0.6000000000000001,RESISC45,0.8811111111111111
0.6000000000000001,EuroSAT,0.9422222222222222
0.6000000000000001,SVHN,0.9139520590043024
0.6000000000000001,GTSRB,0.8806017418844022
0.6000000000000001,MNIST,0.9919
0.6000000000000001,DTD,0.6808510638297872
0.7000000000000001,SUN397,0.7264987405541562
0.7000000000000001,Cars,0.8206690710110682
0.7000000000000001,RESISC45,0.8596825396825397
0.7000000000000001,EuroSAT,0.9288888888888889
0.7000000000000001,SVHN,0.9151429010448678
0.7000000000000001,GTSRB,0.8522565320665083
0.7000000000000001,MNIST,0.9917
0.7000000000000001,DTD,0.6680851063829787
0.8,SUN397,0.7005037783375315
0.8,Cars,0.7898271359283671
0.8,RESISC45,0.8311111111111111
0.8,EuroSAT,0.9096296296296297
0.8,SVHN,0.9134910878918254
0.8,GTSRB,0.8057007125890736
0.8,MNIST,0.9911
0.8,DTD,0.6441489361702127
0.9,SUN397,0.6637783375314862
0.9,Cars,0.7407038925506778
0.9,RESISC45,0.7938095238095239
0.9,EuroSAT,0.8729629629629629
0.9,SVHN,0.9099569760295021
0.9,GTSRB,0.7478226444972288
0.9,MNIST,0.9901
0.9,DTD,0.6117021276595744
1.0,SUN397,0.6182367758186398
1.0,Cars,0.6735480661609252
1.0,RESISC45,0.7480952380952381
1.0,EuroSAT,0.8233333333333334
1.0,SVHN,0.9032344806392133
1.0,GTSRB,0.6837688044338875
1.0,MNIST,0.989
1.0,DTD,0.573936170212766
