epoch,dataset,score
0,glue-cola,0.6883988494726749
0,glue-mnli,0.551808456444218
0,glue-mrpc,0.7867647058823529
0,glue-qnli,0.8978583196046128
0,glue-qqp,0.8367301508780608
0,glue-rte,0.7906137184115524
0,glue-sst2,0.9151376146788991
0,glue-stsb,0.7238150528050229
100,glue-cola,0.6922339405560882
100,glue-mnli,0.5636271013754457
100,glue-mrpc,0.7867647058823529
100,glue-qnli,0.8980413692110562
100,glue-qqp,0.8365817462280485
100,glue-rte,0.7906137184115524
100,glue-sst2,0.9162844036697247
100,glue-stsb,0.7271321760854744
200,glue-cola,0.6922339405560882
200,glue-mnli,0.5718797758532858
200,glue-mrpc,0.7843137254901961
200,glue-qnli,0.8982244188174996
200,glue-qqp,0.8369527578530794
200,glue-rte,0.7906137184115524
200,glue-sst2,0.9162844036697247
200,glue-stsb,0.7273198634285475
300,glue-cola,0.6931927133269415
300,glue-mnli,0.5773815588385125
300,glue-mrpc,0.7843137254901961
300,glue-qnli,0.8980413692110562
300,glue-qqp,0.8369774919614148
300,glue-rte,0.7906137184115524
300,glue-sst2,0.9151376146788991
300,glue-stsb,0.7300356868729886
400,glue-cola,0.6941514860977949
400,glue-mnli,0.5816607233825777
400,glue-mrpc,0.7867647058823529
400,glue-qnli,0.8985905180303863
400,glue-qqp,0.8368538214197379
400,glue-rte,0.7870036101083032
400,glue-sst2,0.9128440366972477
400,glue-stsb,0.7320990860808381
500,glue-cola,0.6912751677852349
500,glue-mnli,0.5854304635761589
500,glue-mrpc,0.7818627450980392
500,glue-qnli,0.8991396668497162
500,glue-qqp,0.8368290873114024
500,glue-rte,0.7906137184115524
500,glue-sst2,0.9128440366972477
500,glue-stsb,0.7320615363811971
600,glue-cola,0.6912751677852349
600,glue-mnli,0.589302088639837
600,glue-mrpc,0.7769607843137255
600,glue-qnli,0.8993227164561596
600,glue-qqp,0.836928023744744
600,glue-rte,0.7906137184115524
600,glue-sst2,0.9151376146788991
600,glue-stsb,0.734899995171592
700,glue-cola,0.6912751677852349
700,glue-mnli,0.5928680590932247
700,glue-mrpc,0.7794117647058824
700,glue-qnli,0.8996888156690463
700,glue-qqp,0.8366064803363839
700,glue-rte,0.7942238267148014
700,glue-sst2,0.9151376146788991
700,glue-stsb,0.7358026733890473
800,glue-cola,0.6912751677852349
800,glue-mnli,0.5957208354559348
800,glue-mrpc,0.7794117647058824
800,glue-qnli,0.8998718652754897
800,glue-qqp,0.8363838733613653
800,glue-rte,0.7942238267148014
800,glue-sst2,0.9162844036697247
800,glue-stsb,0.7389325497446791
900,glue-cola,0.6922339405560882
900,glue-mnli,0.6
900,glue-mrpc,0.7794117647058824
900,glue-qnli,0.8993227164561596
900,glue-qqp,0.8361860004946822
900,glue-rte,0.7942238267148014
900,glue-sst2,0.9162844036697247
900,glue-stsb,0.7378704952950559
1000,glue-cola,0.6912751677852349
1000,glue-mnli,0.6026490066225165
1000,glue-mrpc,0.7843137254901961
1000,glue-qnli,0.8998718652754897
1000,glue-qqp,0.8359386594113282
1000,glue-rte,0.7906137184115524
1000,glue-sst2,0.9162844036697247
1000,glue-stsb,0.7413591464391724
