epoch,dataset,score
0,glue-cola,0.6951102588686481
0,glue-mnli,0.5790117167600611
0,glue-mrpc,0.7794117647058824
0,glue-qnli,0.899505766062603
0,glue-qqp,0.8353450408112788
0,glue-rte,0.7978339350180506
0,glue-sst2,0.9162844036697247
0,glue-stsb,0.7368916521735678
100,glue-cola,0.6951102588686481
100,glue-mnli,0.5817626082526745
100,glue-mrpc,0.7769607843137255
100,glue-qnli,0.8987735676368296
100,glue-qqp,0.8351224338362602
100,glue-rte,0.7942238267148014
100,glue-sst2,0.9128440366972477
100,glue-stsb,0.7414661404707047
200,glue-cola,0.6960690316395014
200,glue-mnli,0.5827814569536424
200,glue-mrpc,0.7843137254901961
200,glue-qnli,0.8993227164561596
200,glue-qqp,0.833663121444472
200,glue-rte,0.7978339350180506
200,glue-sst2,0.9139908256880734
200,glue-stsb,0.7406757408587459
300,glue-cola,0.6941514860977949
300,glue-mnli,0.5847172694854814
300,glue-mrpc,0.7892156862745098
300,glue-qnli,0.8989566172432729
300,glue-qqp,0.8339846648528321
300,glue-rte,0.7978339350180506
300,glue-sst2,0.9128440366972477
300,glue-stsb,0.7418934582417867
400,glue-cola,0.6960690316395014
400,glue-mnli,0.586856851757514
400,glue-mrpc,0.7892156862745098
400,glue-qnli,0.900054914881933
400,glue-qqp,0.834232005936186
400,glue-rte,0.7978339350180506
400,glue-sst2,0.9128440366972477
400,glue-stsb,0.7462538473706144
500,glue-cola,0.6941514860977949
500,glue-mnli,0.5872643912379012
500,glue-mrpc,0.7916666666666666
500,glue-qnli,0.8991396668497162
500,glue-qqp,0.8331684392777641
500,glue-rte,0.7978339350180506
500,glue-sst2,0.9139908256880734
500,glue-stsb,0.7459993176578703
600,glue-cola,0.6903163950143816
600,glue-mnli,0.5881813550687723
600,glue-mrpc,0.7990196078431373
600,glue-qnli,0.8982244188174996
600,glue-qqp,0.8305713579025477
600,glue-rte,0.7906137184115524
600,glue-sst2,0.9151376146788991
600,glue-stsb,0.7467083990525241
700,glue-cola,0.6941514860977949
700,glue-mnli,0.5906265919510952
700,glue-mrpc,0.7965686274509803
700,glue-qnli,0.8985905180303863
700,glue-qqp,0.8313628493692803
700,glue-rte,0.7942238267148014
700,glue-sst2,0.9162844036697247
700,glue-stsb,0.7473189529663621
800,glue-cola,0.6903163950143816
800,glue-mnli,0.591237901171676
800,glue-mrpc,0.8014705882352942
800,glue-qnli,0.8984074684239429
800,glue-qqp,0.8298293346524858
800,glue-rte,0.7942238267148014
800,glue-sst2,0.9174311926605505
800,glue-stsb,0.7517250947461633
900,glue-cola,0.6903163950143816
900,glue-mnli,0.5919510952623536
900,glue-mrpc,0.803921568627451
900,glue-qnli,0.8985905180303863
900,glue-qqp,0.8294583230274548
900,glue-rte,0.7906137184115524
900,glue-sst2,0.9162844036697247
900,glue-stsb,0.7527087287667582
1000,glue-cola,0.6903163950143816
1000,glue-mnli,0.5943963321446765
1000,glue-mrpc,0.8014705882352942
1000,glue-qnli,0.8989566172432729
1000,glue-qqp,0.8288894385357408
1000,glue-rte,0.7906137184115524
1000,glue-sst2,0.9174311926605505
1000,glue-stsb,0.7544826372752113
